ticker,timeframe,hvd_date,hvd_volume,days_since_hvd,hvd_count,all_hvd_details,latest_date,latest_volume,latest_close,volume_ratio,data_points
TXN,monthly,2025-04-30,238844200,153,10,"[{'date': Timestamp('2025-07-31 00:00:00'), 'volume': 165348400}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 154223300}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 238844200}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 141670100}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 122894900}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 120772100}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 125407300}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 125938800}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 125587200}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 143312400}]",2025-09-30,55643495,184.5500030517578,0.2329698397532785,15
GILD,monthly,2025-04-30,206902700,153,10,"[{'date': Timestamp('2025-05-31 00:00:00'), 'volume': 183346000}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 206902700}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 136799800}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 149573500}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 136278300}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 143160600}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 156523600}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 149344600}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 155143100}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 159906600}]",2025-09-30,44633221,112.0999984741211,0.21572082432950368,15
CTAS,monthly,2025-04-30,47902400,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 35562600}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 32437100}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 29465500}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 47902400}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 36289700}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 30801200}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 35632800}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 31810400}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 33304400}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 30377600}]",2025-09-30,12878144,204.2400054931641,0.2688413106650189,15
BIIB,monthly,2025-04-30,37657900,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 30543100}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 29438200}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 37229900}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 37657900}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 25766600}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 34751100}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 30796000}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 28895100}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 26465900}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 25350200}]",2025-09-30,12949083,137.3699951171875,0.3438609959663178,15
TMUS,monthly,2025-04-30,111331900,153,10,"[{'date': Timestamp('2025-07-31 00:00:00'), 'volume': 91556200}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 84469500}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 111331900}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 82948800}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 86765300}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 84442900}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 101013200}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 92284800}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 94079800}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 109123500}]",2025-09-30,26443271,237.47000122070312,0.2375174680392592,15
CCEP,monthly,2025-04-30,54915100,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 41236600}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 36628400}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 39251300}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 54915100}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 31276700}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 28217200}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 33410500}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 29255300}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 36793400}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 31915300}]",2025-09-30,13940625,89.5199966430664,0.2538577731807827,15
ORLY,monthly,2025-04-30,177408000,153,10,"[{'date': Timestamp('2025-07-31 00:00:00'), 'volume': 102142800}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 117991500}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 177408000}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 109347000}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 104337000}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 131302500}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 137305500}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 116460000}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 121693500}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 130681500}]",2025-09-30,26934648,106.0999984741211,0.15182318722943722,15
GEHC,monthly,2025-04-30,144040700,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 64238900}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 86763000}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 97139100}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 144040700}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 74252300}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 61569300}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 65210400}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 75087800}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 90516300}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 55080200}]",2025-09-30,25316661,72.45999908447266,0.17576046908963924,15
PAYX,monthly,2025-04-30,52315500,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 46507600}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 49217200}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 52315500}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 38066300}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 37785100}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 36378200}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 41281900}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 35541800}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 48416800}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 36808500}]",2025-09-30,14335451,128.2100067138672,0.27401919125307034,15
LRCX,monthly,2025-04-30,328123500,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 241922400}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 224911100}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 211182600}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 328123500}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 259632100}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 304762600}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 296571000}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 236690000}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 234741000}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 246325000}]",2025-09-30,70424236,128.3300018310547,0.21462722420064395,15
IDXX,monthly,2025-04-30,23109200,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 14585100}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 11722200}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 14924200}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 23109200}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 13936500}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 13778800}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 14635600}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 10874600}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 11180200}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 11918900}]",2025-09-30,2747483,632.219970703125,0.11889130735810846,15
CSCO,monthly,2025-04-30,543737000,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 468602700}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 428445300}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 543737000}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 409946000}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 456963100}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 402734600}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 450786900}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 381816200}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 411624900}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 422719800}]",2025-09-30,116133182,67.22000122070312,0.21358337210820671,15
EXC,monthly,2025-04-30,211962200,153,10,"[{'date': Timestamp('2025-05-31 00:00:00'), 'volume': 161892400}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 211962200}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 129113000}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 135533000}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 129289900}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 128667500}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 150289100}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 148146800}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 141343800}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 146130500}]",2025-09-30,37908428,44.09000015258789,0.17884522806424918,15
CDNS,monthly,2025-04-30,52408700,153,10,"[{'date': Timestamp('2025-07-31 00:00:00'), 'volume': 42349300}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 46156100}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 52408700}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 32075400}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 51102200}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 47470700}, {'date': Timestamp('2024-07-31 00:00:00'), 'volume': 46978200}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 36762300}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 32332800}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 32451500}]",2025-09-30,9022006,350.1099853515625,0.172147105347013,15
ADI,monthly,2025-04-30,113280800,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 82586200}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 74221800}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 93382500}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 113280800}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 69238200}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 83068600}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 76784700}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 69932900}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': 69421000}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 75315500}]",2025-09-30,19051248,247.5599975585937,0.16817720213840298,15
MSFT,monthly,2025-04-30,563144100,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 454888500}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 476942400}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 563144100}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 462501200}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 442306200}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 440745500}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': 451919000}, {'date': Timestamp('2024-04-30 00:00:00'), 'volume': 441083800}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 444091200}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 528491200}]",2025-09-30,138057867,511.4599914550781,0.24515548862182876,15
FANG,monthly,2025-04-30,61150100,153,10,"[{'date': Timestamp('2025-08-31 00:00:00'), 'volume': 42226400}, {'date': Timestamp('2025-07-31 00:00:00'), 'volume': 39520600}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': 47085400}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': 61150100}, {'date': Timestamp('2025-01-31 00:00:00'), 'volume': 38687400}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': 41742800}, {'date': Timestamp('2024-10-31 00:00:00'), 'volume': 55876000}, {'date': Timestamp('2024-05-31 00:00:00'), 'volume': 32583700}, {'date': Timestamp('2024-02-29 00:00:00'), 'volume': 48505200}, {'date': Timestamp('2024-01-31 00:00:00'), 'volume': 34905000}]",2025-09-30,12478826,148.25,0.20406877503062137,15
