Symbol,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10
TTD,weekly,2021-05-16,178015000,2020-06-07,117573000,2020-05-17,123832000,2020-05-10,159701000,2020-05-03,116451000,2020-04-26,113425000,2020-03-29,105557000,2020-03-22,148804000,2020-03-15,130923000,2020-03-01,144210000
NXPI,weekly,2022-06-26,23245600,2022-06-12,21699200,2021-03-21,87713300,2020-06-21,42366100,2020-06-07,33968000,2020-05-31,56563900,2020-05-03,24923100,2020-03-22,39489500,2020-03-15,29647600,2020-03-01,24622800
VRSK,weekly,2023-06-18,9950100,2023-03-19,8532600,2023-03-05,8849200,2022-11-20,7877200,2022-05-08,8817700,2022-03-13,8239300,2022-03-06,8320200,2021-03-07,12325900,2021-02-28,11642200,2020-03-15,8480100
PLTR,weekly,2023-06-11,620264100,2023-05-28,549444800,2023-05-14,614130300,2023-02-19,607439300,2021-05-16,603403600,2021-03-07,573182900,2021-02-28,699799600,2021-02-21,964540100,2021-01-31,555255700,2020-11-29,610582800
CRWD,weekly,2023-06-04,40824200,2023-03-12,58137300,2022-12-04,75878600,2022-03-13,53199900,2020-09-06,88487300,2020-06-28,45528100,2020-06-21,46773900,2020-06-07,71935400,2020-03-22,40535800,2020-01-12,56408400
TMUS,weekly,2023-09-17,42296800,2023-06-18,40206900,2023-06-11,45852000,2023-06-04,58191600,2022-12-18,42853100,2020-06-28,175697800,2020-05-24,44193000,2020-04-05,54899200,2020-03-22,41253800,2020-02-16,46749400
ZS,weekly,2023-05-14,32726100,2023-03-05,22974200,2022-12-04,25368200,2022-02-27,23316000,2021-12-19,22820200,2020-12-06,28319000,2020-06-07,39536200,2020-05-31,33267200,2020-03-29,24029300,2020-02-23,22724500
DDOG,weekly,2023-11-12,59451900,2023-08-13,53252700,2023-05-07,40260700,2023-02-19,39943900,2022-05-22,39048500,2020-11-15,47551300,2020-10-04,54329600,2020-08-09,37445100,2020-05-17,68808900,2020-03-15,40660100
DXCM,weekly,2023-10-29,34192300,2023-10-15,31601400,2022-05-29,35360800,2020-11-01,56254000,2020-05-17,126044000,2020-05-10,44861200,2020-05-03,32014400,2020-04-19,37021200,2020-03-22,36359200,2020-03-15,32434400
GOOG,weekly,2023-02-12,279981700,2022-02-06,281164000,2020-09-06,237526000,2020-05-03,261738000,2020-03-29,365006000,2020-03-22,392004000,2020-03-15,330242000,2020-03-08,239380000,2020-03-01,286304000,2020-02-09,236154000
CHTR,weekly,2022-12-18,15540300,2022-06-19,11808700,2022-05-01,12259200,2022-02-20,11329100,2021-12-19,11031400,2020-03-29,11595400,2020-03-22,17754000,2020-03-15,14856600,2020-03-08,14481200,2020-03-01,10924600
ISRG,weekly,2023-10-22,16820200,2023-07-23,19228800,2022-10-30,16448900,2022-10-23,18018400,2022-01-30,16284500,2020-04-05,16706400,2020-03-29,25468200,2020-03-22,26835000,2020-03-15,20094000,2020-03-01,16465500
GOOGL,weekly,2023-02-12,350189000,2022-05-01,302562000,2022-02-06,361346000,2021-02-07,282928000,2020-05-03,337958000,2020-04-05,283718000,2020-03-29,385820000,2020-03-22,429700000,2020-03-15,352582000,2020-03-01,293404000
FTNT,weekly,2023-11-12,61515200,2023-11-05,63178100,2023-08-13,62237000,2021-12-19,79474500,2020-07-19,60105000,2020-04-05,67913500,2020-03-29,87138000,2020-03-22,95041000,2020-03-15,77554500,2020-03-01,66949000
AVGO,weekly,2023-06-18,235692000,2023-06-04,350517000,2023-05-28,208668000,2022-01-30,206566000,2021-03-21,223515000,2020-09-06,188796000,2020-04-05,218401000,2020-03-29,273994000,2020-03-22,395072000,2020-03-15,284030000
CDW,weekly,2023-05-07,6465700,2023-04-23,9850500,2022-02-13,7066900,2021-12-19,12248900,2020-04-05,7182800,2020-03-29,9081600,2020-03-22,10484000,2020-03-15,12793900,2020-03-08,8242000,2020-03-01,9006400
FANG,weekly,2022-12-18,28635100,2021-12-05,29669900,2020-12-06,35044600,2020-11-15,26386400,2020-04-19,26596600,2020-04-12,26170200,2020-04-05,35737600,2020-03-29,27175100,2020-03-22,35393300,2020-03-15,52561000
MDLZ,weekly,2022-05-22,55834500,2022-03-13,52242400,2022-01-30,64330600,2021-12-19,54886800,2021-03-07,53864800,2020-03-29,58212600,2020-03-22,74585400,2020-03-15,77949100,2020-03-08,58346200,2020-03-01,52162400
TRI,weekly,2023-02-12,4588984,2022-12-04,3944351,2022-11-06,4234792,2021-05-09,3997991,2021-02-28,5155999,2020-04-05,4597458,2020-03-29,4911397,2020-03-22,5501812,2020-03-15,5860819,2020-03-01,4796896
MELI,weekly,2022-05-15,5549400,2022-02-27,5665800,2022-01-16,4720900,2021-12-12,5458600,2021-12-05,5705900,2021-03-07,5466300,2020-05-10,5118800,2020-03-15,5101700,2020-03-01,5752600,2020-02-16,5153800
KHC,weekly,2023-05-07,56820500,2022-09-18,64643500,2022-06-05,64539000,2022-05-29,56859000,2022-02-20,58592000,2020-03-29,63648700,2020-03-22,64715200,2020-03-15,70734700,2020-03-01,66499500,2020-02-16,82244700
TSLA,weekly,2020-09-06,1506928800,2020-07-19,1536031500,2020-07-12,1401391500,2020-05-03,1696846500,2020-04-19,1656225000,2020-03-22,1901269500,2020-03-01,1426024500,2020-02-09,3200578500,2020-01-19,1623726000,2020-01-12,1508389500
