Symbol,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
ISRG,weekly,2020-03-22,26835000,2020-03-15,20094000,2020-03-01,16465500,2020-01-12,14605500,2020-01-05,5356500,,,,,,,,,,
GOOGL,weekly,2020-03-22,429700000,2020-03-15,352582000,2020-03-01,293404000,2020-02-09,270074000,2020-01-12,175870000,2020-01-05,90194000,,,,,,,,
FTNT,weekly,2020-03-22,95041000,2020-03-15,77554500,2020-03-01,66949000,2020-02-09,36058000,2020-02-02,34259000,2020-01-12,27078000,2020-01-05,18805000,,,,,,
AVGO,weekly,2020-03-22,395072000,2020-03-15,284030000,2020-03-01,171238000,2020-01-12,154435000,2020-01-05,68790000,,,,,,,,,,
CDW,weekly,2020-03-15,12793900,2020-03-01,9006400,2020-02-09,6352200,2020-01-19,6210600,2020-01-12,4462200,2020-01-05,3269500,,,,,,,,
FANG,weekly,2020-03-15,52561000,2020-03-01,18358700,2020-02-02,12907500,2020-01-19,9556300,2020-01-12,9349500,2020-01-05,6882300,,,,,,,,
MDLZ,weekly,2020-03-15,77949100,2020-03-08,58346200,2020-03-01,52162400,2020-02-02,50955600,2020-01-19,34012500,2020-01-12,28351000,2020-01-05,22208100,,,,,,
TRI,weekly,2020-03-15,5860819,2020-03-01,4796896,2020-01-19,3116847,2020-01-12,1801966,2020-01-05,1138652,,,,,,,,,,
MELI,weekly,2020-03-01,5752600,2020-02-16,5153800,2020-01-19,2904100,2020-01-12,2119200,2020-01-05,1689200,,,,,,,,,,
KHC,weekly,2020-02-16,82244700,2020-02-09,42819200,2020-02-02,34875300,2020-01-12,31199900,2020-01-05,20947300,,,,,,,,,,
TSLA,weekly,2020-02-09,3200578500,2020-01-19,1623726000,2020-01-12,1508389500,2020-01-05,752740500,,,,,,,,,,,,
