Symbol,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
COST,daily,2022-05-18,9511600,2021-03-05,8102800,2020-03-02,7563800,2020-02-28,7091800,2020-02-27,3625300,2020-01-21,3585900,2020-01-09,3261200,2020-01-06,2655100,2020-01-02,2103600,,
MSTR,daily,2022-05-12,46929000,2022-05-11,36188000,2021-06-22,25670000,2021-02-09,23197000,2021-01-07,22844000,2020-11-30,15650000,2020-11-24,11204000,2020-06-19,4883000,2020-01-29,2547000,2020-01-09,642000
SHOP,daily,2022-05-05,113608000,2020-04-21,110507000,2020-02-12,97794000,2020-02-11,26930000,2020-01-23,24450000,2020-01-22,23584000,2020-01-21,21393000,2020-01-13,19998000,2020-01-10,18041000,2020-01-09,17844000
SBUX,daily,2022-05-04,30199700,2020-03-18,28770600,2020-03-12,25170600,2020-02-28,19108600,2020-01-29,17678700,2020-01-28,11922400,2020-01-27,11066500,2020-01-09,9443500,2020-01-08,7296300,2020-01-07,6514700
AMD,daily,2022-05-04,225394100,2021-08-04,225368700,2020-07-24,205314500,2020-03-03,141972300,2020-01-29,112349900,2020-01-02,80331100,,,,,,,,
IDXX,daily,2022-05-04,2104500,2020-03-19,1852300,2020-02-28,1614600,2020-01-31,910200,2020-01-08,717500,2020-01-06,579000,2020-01-02,445500,,,,,,
ROP,daily,2022-04-29,2822200,2021-02-17,1517100,2020-10-28,1514600,2020-10-27,1415000,2020-03-24,1257000,2020-03-09,1142400,2020-02-28,1086400,2020-02-21,955400,2020-01-30,808800,2020-01-02,754400
NFLX,daily,2022-04-20,1333875000,2022-01-21,589043000,2021-01-20,326375000,2020-07-17,249914000,2020-07-16,244990000,2020-04-21,231776000,2020-01-22,217300000,2020-01-21,143503000,2020-01-14,71994000,2020-01-08,71045000
PDD,daily,2022-03-16,79707700,2022-03-15,56774300,2021-08-24,42178200,2020-08-21,40084700,2020-05-22,25121000,2020-03-11,19546600,2020-02-24,15338200,2020-02-21,11399000,2020-02-10,11215600,2020-01-14,10481200
DASH,daily,2022-02-17,47405700,2020-12-09,25373700,,,,,,,,,,,,,,,,
PYPL,daily,2022-02-02,136264000,2021-11-09,63995100,2021-10-21,42508900,2020-05-07,35487900,2020-03-12,20114400,2020-02-28,17213100,2020-02-27,15461900,2020-01-30,13653300,2020-01-17,9730400,2020-01-13,9652500
CEG,daily,2022-02-02,23860900,2022-01-21,329500,2022-01-20,153400,2022-01-19,129900,,,,,,,,,,,,
GOOGL,daily,2022-02-02,123200000,2020-04-29,108358000,2020-03-16,96520000,2020-02-04,95880000,2020-02-03,71636000,2020-01-17,52424000,2020-01-06,46768000,2020-01-02,27278000,,,,
EXC,daily,2022-02-02,29696500,2021-05-19,21836290,2020-02-28,20859797,2020-01-22,12269182,2020-01-17,10607953,2020-01-07,9501775,2020-01-06,7783203,2020-01-03,7550611,2020-01-02,7026544,,
ODFL,daily,2022-01-21,13531000,2021-05-27,5651000,2020-03-12,3890700,2020-03-10,3502200,2020-03-09,3285600,2020-02-28,3190800,2020-02-06,2429400,2020-01-10,2302200,2020-01-02,1959000,,
