Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
NMAI,462945169.4,monthly,2024-07-01,3928200,2022-07-01,3221500.0,2022-01-01,2862300.0,2021-12-01,2367900.0,2021-11-01,795900.0,,,,,,,,,,
TWFG,1282170092.5119214,monthly,2024-07-01,8387400,,,,,,,,,,,,,,,,,,
NFBK,626042310.5484536,monthly,2024-06-01,16761600,2020-08-01,7243500.0,2020-07-01,6243300.0,2020-03-01,5063900.0,2020-02-01,2377300.0,,,,,,,,,,
IART,1459469978.7403316,monthly,2024-06-01,45434900,2024-05-01,34228700.0,2020-03-01,22192800.0,2020-02-01,13158000.0,,,,,,,,,,,,
NRC,468988654.05355406,monthly,2024-06-01,2987900,2024-01-01,2073500.0,2023-12-01,1835800.0,2021-12-01,1373100.0,2020-06-01,1087500.0,2020-03-01,1011000.0,2020-02-01,566500.0,,,,,,
ARTNA,347393326.7152757,monthly,2024-06-01,3081800,2024-05-01,1408700.0,2020-06-01,1339700.0,2020-03-01,730600.0,2020-02-01,236800.0,,,,,,,,,,
ATNI,415744434.7008611,monthly,2024-06-01,5881900,2024-02-01,3135600.0,2020-09-01,1896100.0,2020-04-01,1845400.0,2020-03-01,1428200.0,2020-02-01,723700.0,,,,,,,,
XPER,389550653.9025975,monthly,2024-06-01,23029400,2023-11-01,13183400.0,2022-10-01,10636000.0,2022-09-01,138200.0,,,,,,,,,,,,
LEG,1592166735.765517,monthly,2024-06-01,100867100,2024-05-01,91977600.0,2021-12-01,66602500.0,2020-05-01,45120500.0,2020-04-01,36328400.0,2020-03-01,30791200.0,2020-02-01,23837600.0,,,,,,
UFCS,1348231568.4626122,monthly,2024-06-01,3524100,2021-12-01,2748000.0,2021-03-01,2564500.0,2020-12-01,2338800.0,2020-11-01,2045000.0,2020-09-01,2017600.0,2020-06-01,1916600.0,2020-03-01,1877000.0,2020-02-01,1181700.0,,
PBFS,421290256.5661254,monthly,2024-06-01,827700,2020-03-01,827600.0,2020-02-01,350800.0,,,,,,,,,,,,,,
CLDT,633930936.245877,monthly,2024-06-01,23317500,2020-06-01,19307300.0,2020-05-01,14786800.0,2020-03-01,13051000.0,2020-02-01,5759300.0,,,,,,,,,,
RDWR,1268923044.7974412,monthly,2024-06-01,13566900,2021-12-01,11229400.0,2020-03-01,10040000.0,2020-02-01,6283100.0,,,,,,,,,,,,
DV,1660482478.7095478,monthly,2024-05-01,93231500,2023-08-01,54626800.0,2023-01-01,42438300.0,2022-11-01,32728600.0,2021-12-01,29186500.0,2021-11-01,23147200.0,2021-04-01,14099700.0,,,,,,
WLKP,798671667.5534842,monthly,2024-05-01,4912200,2021-02-01,3231800.0,2020-03-01,3023900.0,2020-02-01,1612000.0,,,,,,,,,,,,
BV,1363515922.5710309,monthly,2024-05-01,23427000,2024-04-01,18982700.0,2024-03-01,15458100.0,2020-06-01,14112900.0,2020-03-01,7113100.0,2020-02-01,3686300.0,,,,,,,,
VSTS,1904955106.4614267,monthly,2024-05-01,114910800,2023-10-01,63336500.0,2023-09-01,550100.0,,,,,,,,,,,,,,
IMCR,1552407128.0,monthly,2024-05-01,20965900,2024-01-01,14199300.0,2022-11-01,9248800.0,2022-09-01,8745800.0,2021-02-01,5748200.0,,,,,,,,,,
BOC,412587798.5360429,monthly,2024-05-01,5249600,2021-04-01,5093400.0,2021-02-01,4735000.0,2020-06-01,3984700.0,2020-05-01,3395000.0,2020-03-01,2334400.0,2020-02-01,850900.0,,,,,,
FWRD,470264457.59972006,monthly,2024-05-01,37764300,2024-03-01,28755700.0,2023-08-01,20332000.0,2020-03-01,5675400.0,2020-02-01,2948600.0,,,,,,,,,,
REX,1453212088.2994702,monthly,2024-05-01,10259000,2020-03-01,8653800.0,2020-02-01,3711000.0,,,,,,,,,,,,,,
IFN,486658179.0,monthly,2024-04-01,6954100,2020-03-01,6135000.0,2020-02-01,2539900.0,,,,,,,,,,,,,,
FOR,1629219016.59712,monthly,2024-04-01,6945000,2023-08-01,5428600.0,2023-07-01,4704800.0,2020-03-01,4238500.0,2020-02-01,2042500.0,,,,,,,,,,
PLOW,1246216549.894845,monthly,2024-04-01,6543400,2024-03-01,5542600.0,2020-03-01,5073500.0,2020-02-01,2384300.0,,,,,,,,,,,,
FDUS,712782946.7699836,monthly,2024-03-01,10453500,2020-03-01,8641000.0,2020-02-01,2735000.0,,,,,,,,,,,,,,
LILA,1421850352.222857,monthly,2024-03-01,15167300,2020-03-01,9305289.0,2020-02-01,3475838.0,,,,,,,,,,,,,,
UVV,1340634817.1431258,monthly,2024-03-01,8617200,2023-12-01,6530400.0,2020-03-01,4891700.0,2020-02-01,2968800.0,,,,,,,,,,,,
UHT,595124420.2918063,monthly,2024-03-01,3352600,2021-09-01,2055100.0,2020-03-01,1885100.0,2020-02-01,855900.0,,,,,,,,,,,,
AUNA,381166771.81000006,monthly,2024-03-01,13765000,,,,,,,,,,,,,,,,,,
BL,1662450450.3418868,monthly,2024-03-01,34429000,2022-05-01,22132800.0,2021-03-01,22018600.0,2020-03-01,18242200.0,2020-02-01,11228500.0,,,,,,,,,,
ASLE,309506005.5271318,monthly,2024-03-01,18221300,2023-08-01,14749700.0,2023-06-01,11028800.0,2022-11-01,8520300.0,2021-11-01,8100700.0,2020-03-01,7214500.0,2020-02-01,1204600.0,,,,,,
LPG,1542743491.5474963,monthly,2024-01-01,25747200,2023-11-01,21593700.0,2020-03-01,19844100.0,2020-02-01,11607500.0,,,,,,,,,,,,
NBBK,886747751.4718411,monthly,2024-01-01,13401500,2023-12-01,6283400.0,,,,,,,,,,,,,,,,
TMP,1354729280.126259,monthly,2024-01-01,1594300,2020-03-01,1529400.0,2020-02-01,643900.0,,,,,,,,,,,,,,
CCEC,1244949461.490044,monthly,2024-01-01,6622700,2021-11-01,4612000.0,2020-03-01,4254400.0,2020-02-01,2533900.0,,,,,,,,,,,,
PSBD,333303937.575,monthly,2024-01-01,3368000,,,,,,,,,,,,,,,,,,
VMO,666314116.0,monthly,2024-01-01,8840700,2020-03-01,8534200.0,2020-02-01,3050400.0,,,,,,,,,,,,,,
SDHC,741434029.8739495,monthly,2024-01-01,7321800,,,,,,,,,,,,,,,,,,
OFIX,395323791.09989256,monthly,2023-12-01,26282800,2023-10-01,18744600.0,2023-09-01,15851100.0,2023-01-01,13018300.0,2022-10-01,6428100.0,2020-03-01,4962700.0,2020-02-01,2500600.0,,,,,,
